2700:
 num     #instances         #bytes  class name (module)
 313:          3306         185136  org.objectweb.asm.tree.IntInsnNode
 314:          4591         183640  net.minecraft.util.SoundEvent
 315:          2524         181728  net.minecraftforge.fml.common.registry.EntityRegistry$EntityRegistration
 316:          2222         179440  [Ljava.lang.invoke.LambdaForm$Name; (java.base@25.0.4)
 317:          2781         177984  net.minecraftforge.oredict.ShapelessOreRecipe
 318:           320         176640  [Ltop.outlands.foundation.trie.TrieNode;
 319:          5511         176352  java.lang.ref.ReferenceQueue (java.base@25.0.4)
 320:         10965         175440  java.util.concurrent.atomic.AtomicLong (java.base@25.0.4)
 321:          3653         175344  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl
 322:          2174         173920  net.minecraftforge.client.model.pipeline.UnpackedBakedQuad
 323:           832         173056  org.objectweb.asm.tree.ClassNode
 324:          7011         168264  java.util.UUID (java.base@25.0.4)
 325:          6958         166992  net.minecraft.client.renderer.block.model.BlockFaceUV
 326:          2969         166264  net.minecraft.world.storage.loot.LootPool
 327:          2968         166208  com.google.common.collect.MapMakerInternalMap$WeakKeyWeakValueEntry
 328:          1850         162800  net.minecraftforge.client.model.BlockStateLoader$ForgeVariant
 329:          2444         156416  team.chisel.api.block.VariationData
 330:           541         156184  [Ljava.lang.invoke.MethodHandle; (java.base@25.0.4)
 331:          3894         155760  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@25.0.4)
 332:          1946         155680  java.nio.DirectByteBuffer (java.base@25.0.4)
 333:          9685         154960  java.lang.Float (java.base@25.0.4)
 334:          1934         154720  net.minecraftforge.fml.common.registry.EntityEntryBuilder$BuiltEntityEntry
 335:          3212         154176  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@25.0.4)
 336:          2736         153216  net.minecraft.stats.StatBase
 337:          1006         152912  stanhebben.zenscript.type.ZenTypeNative
 338:          3748         149920  github.kasuminova.stellarcore.shaded.org.jctools.maps.ConcurrentAutoTable$CAT
 339:          1038         149472  xyz.phanta.tconevo.client.render.texture.MaybeTextureColouredTexture
 340:          4548         145536  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$LockBasedNotNullLazyValue
 341:          5984         143616  java.util.Collections$SingletonList (java.base@25.0.4)
 342:          8894         142304  net.minecraft.world.storage.loot.RandomValueRange
 343:          2217         141888  java.lang.invoke.LambdaForm (java.base@25.0.4)
 344:          2528         141568  crafttweaker.mc1120.entity.MCEntityDefinition
 345:          1603         141064  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
 346:          1490         140096  [Ljava.util.List; (java.base@25.0.4)
 347:          5828         139872  com.cleanroommc.retrosophisticatedbackpacks.inventory.UpgradeItemStackHandler
 348:          4368         139776  kotlin.SafePublicationLazyImpl
 349:          8435         139184  [Lnet.minecraft.world.storage.loot.conditions.LootCondition;
 350:          1571         138248  gigaherz.guidebook.guidebook.elements.ElementImage
 351:          1900         136800  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@25.0.4)
 352:          3392         136240  [Lthaumcraft.client.lib.obj.Vertex;
 353:          1308         136032  com.xcompwiz.mystcraft.client.render.PageBuilder$PageSprite
 354:          7014         135056  [Lsun.reflect.generics.tree.TypeArgument; (java.base@25.0.4)
 355:          1684         134720  gigaherz.guidebook.guidebook.elements.ElementPanel
 356:          5536         132864  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@25.0.4)
 357:          2305         129080  jdk.internal.util.SoftReferenceKey (java.base@25.0.4)
 358:          5245         127472  [Ljava.lang.reflect.Type; (java.base@25.0.4)
 359:          1986         127104  com.infinityraider.agricraft.crafting.CustomWoodShapedRecipe
 360:          1585         126800  org.spongepowered.asm.mixin.transformer.MixinInfo$State
 361:          3147         125880  jdk.internal.reflect.MethodHandleBooleanFieldAccessorImpl (java.base@25.0.4)
 362:          1408         123904  team.chisel.ctm.client.model.ModelCTM
 363:          1900         121600  jdk.internal.ref.Cleaner (java.base@25.0.4)
 364:          7510         120160  com.google.gson.internal.LinkedTreeMap$EntrySet
 365:           429         120120  org.spongepowered.asm.mixin.transformer.MixinConfig
 366:          2094         117264  com.google.common.cache.LocalCache$SoftValueReference
 367:          2919         116760  net.minecraftforge.fml.common.versioning.DefaultArtifactVersion
 368:          2879         115160  org.spongepowered.asm.util.ClassSignature
 369:          7154         114464  jdk.proxy3.$Proxy58 (jdk.proxy3)
 370:          1425         114000  kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$StringTableTypes$Record
 371:          4724         113376  java.util.Collections$SetFromMap (java.base@25.0.4)
 372:          2832         113280  sun.security.util.ObjectIdentifier (java.base@25.0.4)
 373:          2815         112600  binnie.botany.genetics.ColorMix
 374:          6993         111888  sun.reflect.generics.tree.ClassTypeSignature (java.base@25.0.4)
 375:          1748         111872  kotlin.reflect.jvm.internal.impl.km.KmValueParameter
 376:          1743         111552  net.minecraft.stats.StatCrafting
 377:          4561         109464  net.minecraft.scoreboard.ScoreCriteriaStat
 378:           853         109184  com.pam.harvestcraft.item.items.ItemPamFood
 379:          2177         104496  [[[F (java.base@25.0.4)
 380:          2591         103640  java.math.BigDecimal (java.base@25.0.4)
 381:          2590         103600  kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe
 382:          3210         102720  com.raoulvdberge.refinedstorage.render.model.baked.BakedModelFullbright
 383:          1605         102720  java.nio.DirectFloatBufferU (java.base@25.0.4)
 384:          1419         102168  com.google.common.collect.Multimaps$CustomListMultimap
 385:           795         101760  lucraft.mods.lucraftcore.superpowers.suitsets.ItemSuitSetArmor
